nombre,categoria,direccion,telefonos,telefonos_notas,email,instagram,web,etiquetas,latitud,longitud,fuente,estado_confirmacion,nombre_relacionado_osm,posible_duplicado,url_origen,fecha_extraccion
AHotel Decosuites,Apart Hotel,Juan Pablo XXIII 1173,2664006624,,hotelmerlosanluis@gmail.com,@ahoteldecosuites,http://www.ahoteldecosuites.com/,Pileta,-32.3651823,-64.9940082,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,A Hotel Deco Suites,,https://villademerlo.tur.ar/alojamiento/ahotel-decosuites/,2026-08-31
Aires de Ámbar,Cabañas,Jaspe 859,266433744,,airesdeambar@gmail.com,@airesdeambar,,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/aires-de-ambar/,2026-08-31
Al Pie del Morro,Vatt,Bella Vista y Lola Mora Parque los Nogales,2656474308 | 2664842096,,alpiedelmorro@hotmail.com,@alpiedelmorro,,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/al-pie-del-morro/,2026-08-31
Algarrobo,Hotel,Av Del Sol 1120,2664506916,,hotelalgarrobo@gmail.com,@HotelAlgarrobo_merlo,,Pileta | Pileta Climatizada,-32.3476367,-64.9981583,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Hotel Algorrobo,,https://villademerlo.tur.ar/alojamiento/algarrobo/,2026-08-31
Algarrobo Nieto,Vatt,Lote 18 Block 73 Calaguala,2665245835,,,,http://www.algarrobonieto.com.ar/,Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/algarrobo-nieto/,2026-08-31
Alma Tierra,Cabañas,Cantata del Bosque Natal 1850,1167519992,,reservas@almatierrasl.com,,https://almatierrasl.com/,Pet Friendly | Pileta,-32.340579,-65.003301,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas Alma Mora,,https://villademerlo.tur.ar/alojamiento/alma-tierra/,2026-08-31
Alpinas San Lorenzo,Cabañas,Oscar Miguel 1650,2664330948,,calpinassanlorenzo@gmail.com,,https://alpinassanlorenzo.com.ar/,Pet Friendly | Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/alpinas-san-lorenzo/,2026-08-31
Amancay,Hostería,Av. Del Sol 500,2664020524 | 2664891627,,amancay.hosteriamerlo@gmail.com,@hosteria_amancay,,Pet Friendly | Pileta,-32.3467852,-65.0057428,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Hostería Amancay,,https://villademerlo.tur.ar/alojamiento/amancay/,2026-08-31
Ayllu,Vatt,El Molino 112.,2664299469,,,,,Pet Friendly,-32.3496078,-64.9868571,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Cabañas Ayllu,,https://villademerlo.tur.ar/alojamiento/ayllu/,2026-08-31
Barranca del Indio,Cabañas,Ramón Liendo,1167991437,,barrancadelindiomerlo@gmail.com,@barrancadelindio,,Pileta,-32.3342969,-65.0008401,oficial+osm,Confirmado en directorio oficial y coincide con OpenStreetMap,Barrancas del Sol,,https://villademerlo.tur.ar/alojamiento/barranca-del-indio/,2026-08-31
Blessing,Vatt,Las Lajas 460,01132580615,,carinacalagiones@icloud.com,,,Pet Friendly | Pileta,,,oficial,Confirmado en directorio oficial,,,https://villademerlo.tur.ar/alojamiento/blessing/,2026-08-31
