nombre,categoria,direccion,telefonos,telefonos_notas,email,instagram,web,etiquetas,url_origen,fecha_extraccion,posible_duplicado
AHotel Decosuites,Apart Hotel,Juan Pablo XXIII 1173,2664006624,,hotelmerlosanluis@gmail.com,@ahoteldecosuites,http://www.ahoteldecosuites.com/,Pileta,https://villademerlo.tur.ar/alojamiento/ahotel-decosuites/,2026-08-31,
Aires de Ámbar,Cabañas,Jaspe 859,266433744,,airesdeambar@gmail.com,@airesdeambar,,Pileta,https://villademerlo.tur.ar/alojamiento/aires-de-ambar/,2026-08-31,
Al Pie del Morro,Vatt,Bella Vista y Lola Mora Parque los Nogales,2656474308 | 2664842096,,alpiedelmorro@hotmail.com,@alpiedelmorro,,Pileta,https://villademerlo.tur.ar/alojamiento/al-pie-del-morro/,2026-08-31,
Algarrobo,Hotel,Av Del Sol 1120,2664506916,,hotelalgarrobo@gmail.com,@HotelAlgarrobo_merlo,,Pileta | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/algarrobo/,2026-08-31,
Algarrobo Nieto,Vatt,Lote 18 Block 73 Calaguala,2665245835,,,,http://www.algarrobonieto.com.ar/,Pileta,https://villademerlo.tur.ar/alojamiento/algarrobo-nieto/,2026-08-31,
Alma Tierra,Cabañas,Cantata del Bosque Natal 1850,1167519992,,reservas@almatierrasl.com,,https://almatierrasl.com/,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/alma-tierra/,2026-08-31,
Alpinas San Lorenzo,Cabañas,Oscar Miguel 1650,2664330948,,calpinassanlorenzo@gmail.com,,https://alpinassanlorenzo.com.ar/,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/alpinas-san-lorenzo/,2026-08-31,
Amancay,Hostería,Av. Del Sol 500,2664020524 | 2664891627,,amancay.hosteriamerlo@gmail.com,@hosteria_amancay,,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/amancay/,2026-08-31,
Ayllu,Vatt,El Molino 112.,2664299469,,,,,Pet Friendly,https://villademerlo.tur.ar/alojamiento/ayllu/,2026-08-31,
Barranca del Indio,Cabañas,Ramón Liendo,1167991437,,barrancadelindiomerlo@gmail.com,@barrancadelindio,,Pileta,https://villademerlo.tur.ar/alojamiento/barranca-del-indio/,2026-08-31,
Blessing,Vatt,Las Lajas 460,01132580615,,carinacalagiones@icloud.com,,,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/blessing/,2026-08-31,
Burung Hantu,Cabañas,Sargento Baigorria Sur 80,2664259455 | 1126355548,,cabanasburunghantu@gmail.com,@bhmerlo,http://bhmerlo.com.ar/,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/burung-hantu/,2026-08-31,
Casa Atardeceres,Vatt,Nelson Mandela 385,2664011612,,casaatardeceres@hotmail.com,@casa_atardeceres,,Pileta,https://villademerlo.tur.ar/alojamiento/casa-atardeceres/,2026-08-31,
Casa Colibri,Vatt,calden 283,2664367490,,,,,Pet Friendly,https://villademerlo.tur.ar/alojamiento/casa-colibri/,2026-08-31,
Colores,Hotel,"Victorino de La Plaza 153, Rincón del Este.",02656475355 | 1161888912,,,@hotelcoloresmerlo,http://www.hotelcolores.com/,Apto para Celíacos | Pileta,https://villademerlo.tur.ar/alojamiento/amancay-copia/,2026-08-31,
Complejo Calas,Cabañas,Cerro Champaqui 259,2664615359,,calasmerlo@gmail.com,,https://villademerlo.com/calas-2/,Pileta,https://villademerlo.tur.ar/alojamiento/complejo-calas/,2026-08-31,misma dirección que ['Complejo Entre Marte y la Luna']
Complejo Entre Marte y la Luna,Cabañas,Cerro Champaqui 259,2664848504,,entremarteylaluna@gmail.com,,http://www.entremarteylaluna.com.ar,Pileta,https://villademerlo.tur.ar/alojamiento/complejo-entre-marte-y-la-luna/,2026-08-31,misma dirección que ['Complejo Calas']
Complejo Galileo,Cabañas,Las Lajas 701,2664734713,,merlo.galileo@gmail.com,@ComplejoGalileo,,,https://villademerlo.tur.ar/alojamiento/complejo-galileo/,2026-08-31,
Complejo Los Espinillos de Merlo,Cabañas,Av. Alberto Pepe Mercau 1002,1154122649,,complejolosespinillos@gmail.com,,https://www.complejolosespinillos.com.ar/,Pileta,https://villademerlo.tur.ar/alojamiento/complejo-los-espinillos-de-merlo/,2026-08-31,
Cuyá,Cabañas,Malva 727,2665246128,,,@CabaniasCuya Facebook: Cabañas Cuyá,,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/cuya/,2026-08-31,
Despertar Serrano,Cabañas,Padre Tissera 849,2664849489,,,@despertarserrano Telefóno fijo.: 2656478383,https://despertarserrano.com.ar,Pileta,https://villademerlo.tur.ar/alojamiento/despertar-serrano/,2026-08-31,
Dúplex Don Valentín,Cabañas,Doctor Luis G. Volonte 50,2664518931,,fvb1966@gmail.com,,https://casa.mercadolibre.com.ar/MLA-1560960831-alojamiento-en-merlo-san-luis-cabanas-duplex-y-departamentos-para-1-y-hasta-7-personas-_JM,Pileta,https://villademerlo.tur.ar/alojamiento/duplex-don-valentin/,2026-08-31,
Dúplex El Remanso,Cabañas,Cerro De Las Lajas 155.,2664164685,,complejoremansomerlo@gmail.com,@complejoremansomerlo,,Pileta,https://villademerlo.tur.ar/alojamiento/duplex-el-remanso/,2026-08-31,
Dúplex Sandra,Vatt,San Luis 2055,02656478142 | 2664615174,,sandrakrysa1964@gmail.com,@DuplexSandraa,,Pileta,https://villademerlo.tur.ar/alojamiento/duplex-sandra-2/,2026-08-31,
Ecos de las Sierras,Vatt,Fray Rapozo 194 y Carlos Gardel,,,,,,Pileta,https://villademerlo.tur.ar/alojamiento/ecos-de-las-sierras/,2026-08-31,nombre parecido a 'Posada de las Sierras' (similitud 0.85)
El Cardal,Vatt,El Quirquincho 210,2267675933,,elcardalmerlo@yahoo.com.ar,@elcardal.merlo Facebook: @elcardal,,Pileta,https://villademerlo.tur.ar/alojamiento/el-cardal/,2026-08-31,
El Cortijo,Hotel,Pablo Tissera 1200,2656408390,,reservas@elcortijomerlo.com.ar,@Hotel_Elcortijo,,Pileta | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/el-cortijo/,2026-08-31,
El Puente,Hostería,Cerro Cabeza del Indio 516,2665138910,,elpuente2001@gmail.com,@hotel.elpuente Facebook: Hotel Boutique El Puente,,Pileta | Solo para adultos,https://villademerlo.tur.ar/alojamiento/el-puente/,2026-08-31,
El Viejo Algarrobo,Hostería,Chumamaya 2476,2664771600,,informes@elviejoalgarrobo.com.ar,@elviejoalgarrobo,http://www.elviejoalgarrobo.com.ar,Pileta,https://villademerlo.tur.ar/alojamiento/el-viejo-algarrobo/,2026-08-31,
Epic Villa de Merlo,Hotel,Av Eva Duarte 121,2665470800 | 2664577698,,recepcion.vdm@epic-hoteles.com.ar,@Epic.Hotel.Merlo,http://epichotelmerlo.com,Accesible | Pileta | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/epic-villa-de-merlo/,2026-08-31,
Estilo MB,Hotel,Ruta Provincial 5 Nro. 3680,02665295237 | 2656470120,,hotelestilombmsl@gmail.com,@HotelEstiloMbMerlo,https://www.estilombmerlo.com,Pileta | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/estilo-mb/,2026-08-31,
Euzkadi,Cabañas,Marte y Las Marías,2262535214,,,@CABAnaseuzkadi,,Pileta,https://villademerlo.tur.ar/alojamiento/euzkadi/,2026-08-31,
Guemes,Vatt,Guemes 35 y Las Lajas,,,,,,Pet Friendly,https://villademerlo.tur.ar/alojamiento/guemes/,2026-08-31,
Horus,Vatt,H. Irigoyen esq Juan B Justo Teléfono 2656473030 Whatsapp 1162205534,,,info@horus-sl.com.ar,"@cabaniashorusmerlo Facebook: Cabañas Horus, Merlo San Luis.",,Pileta,https://villademerlo.tur.ar/alojamiento/horus/,2026-08-31,
Howard Johnson,Hotel,Ruta Prov. Nº1 Km 1,02656473600 | 2664506986,,reservas@hjmerlo.com.ar,@Hjmerlo,https://hjmerlo.com.ar/portal/es-es/1952/inicio,Accesible | Pileta | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/epic-villa-de-merlo-copia/,2026-08-31,
La Candela,Posada,"Cerro Las Lajas 382, Esq. Poeta Conti",2664011832 | 01136053952,,posadalacandela1690@gmail.com,@Posadalacandela1690,,Pileta,https://villademerlo.tur.ar/alojamiento/la-candela/,2026-08-31,
La Herencia,Vatt,Dama de Noche 625 esquina calle publica 21,1159238242,,,@ laherenciamerlo,,Accesible | Pileta,https://villademerlo.tur.ar/alojamiento/la-herencia/,2026-08-31,
La Soñada,Cabañas,Ruta 1 KM. 4,2664906832,,info@cabaniaslasoniada.com,@lasoniadacabaniasyspa,https://www.cabaniaslasoniada.com.ar/,Accesible | Pileta | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/la-sonada/,2026-08-31,
La Tranquilidad,Cabañas,Jorge Cafrune 2198,2656408940,,,@LaTranquilidadmerlosl,,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/la-tranquilidad/,2026-08-31,
Las Tinajas,Cabañas,Calle Argentina s/n,2665283645,,campolastinajaspromos@gmail.com,@lastinajasmerlo,http://www.campolastinajas.com.ar,Pet Friendly | Pileta Climatizada,https://villademerlo.tur.ar/alojamiento/las-tinajas/,2026-08-31,
Lo de Emilio,Vatt,Rincón del Este,01156352873,,,,,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/lo-de-emilio/,2026-08-31,
Los Álamos,Posada,Neptuno 513,1168203003,,losalamosposada@gmail.com,@Posadalosalamos.merlo Facebook: Posada Los Alamos Merlo San Luis Tik Tok: posada.los.alamos.merlo,https://losalamosposada.com.ar/,Pileta,https://villademerlo.tur.ar/alojamiento/posada-los-alamos/,2026-08-31,
Los Aromos,Vatt,cuesta de las granadillas 1000,1151017240,,,@losaromos_,https://www.cabaniaslosaromos.com.ar/,Pileta,https://villademerlo.tur.ar/alojamiento/los-aromos/,2026-08-31,
Los Basco´s,Vatt,Cerro Champaqui 136,2657529095,,,@losbascos,http://www.losbascos.com.ar/,Pileta,https://villademerlo.tur.ar/alojamiento/los-bascos/,2026-08-31,
Los Damascos,Cabañas,San Roque Esquina Las Madreselvas,1158108492,,damianpresutti1@gmail.com,@Losdamascosmerlosanluis Mascostas solo de porte pequeño.,,Pet Friendly | Pileta,https://villademerlo.tur.ar/alojamiento/los-damascos/,2026-08-31,
