nombre_publicado,categoria_publicada,direccion_raw,telefonos_raw,email_raw,instagram_raw,web_raw,etiquetas_raw,url_origen,fecha_extraccion,fuente,latitud,longitud,osm_id,osm_tipo_elemento
Hostería Amancay,hotel,,,,,,,https://www.openstreetmap.org/node/1591598636,2026-09-01,openstreetmap,-32.3467852,-65.0057428,1591598636,node
Hotel Colonial,hotel,,,,,,,https://www.openstreetmap.org/node/1591598638,2026-09-01,openstreetmap,-32.3444295,-64.9956015,1591598638,node
Hotel Contilo,hotel,Villa de Merlo,,,,,,https://www.openstreetmap.org/node/1591598641,2026-09-01,openstreetmap,-32.3440821,-65.0105555,1591598641,node
Hotel El Hornero,hotel,,,,,,,https://www.openstreetmap.org/node/1591598654,2026-09-01,openstreetmap,-32.3465623,-64.9947534,1591598654,node
Hotel Mirasierras,hotel,"Pedernera, Villa de Merlo",+54 2656 475045,,,,,https://www.openstreetmap.org/node/1591598657,2026-09-01,openstreetmap,-32.3465172,-65.0093565,1591598657,node
Hotel Valle del Sol,hotel,,,,,,,https://www.openstreetmap.org/node/1591598660,2026-09-01,openstreetmap,-32.3477784,-65.0108727,1591598660,node
Hotel Villa de Merlo,hotel,"Pedernera, Villa de Merlo",+54 2656 475335,,,https://www.grupocanablaya.com.ar/villademerlo/,,https://www.openstreetmap.org/node/1591598663,2026-09-01,openstreetmap,-32.3445837,-65.0085475,1591598663,node
La Barraca,hotel,,,,,,,https://www.openstreetmap.org/node/1591598668,2026-09-01,openstreetmap,-32.3394531,-64.989744,1591598668,node
Planetario Hotel,hotel,,,,,,,https://www.openstreetmap.org/node/1591598669,2026-09-01,openstreetmap,-32.3471332,-64.9996952,1591598669,node
Cabañas Agrippina,chalet,"Avenida de la Juventud, Villa de Merlo",+54 9 2664632541,agrippinamerlo@gmail.com,,http://www.agrippina.com.ar/,,https://www.openstreetmap.org/node/2306859768,2026-09-01,openstreetmap,-32.3316887,-65.0018629,2306859768,node
Casa Grande HOSTEL,hostel,,,,,,,https://www.openstreetmap.org/node/2337660366,2026-09-01,openstreetmap,-32.3429502,-64.9960291,2337660366,node
Barrancas del Sol,hotel,,,,,https://barrancadelsol.com.ar/,,https://www.openstreetmap.org/node/2577189192,2026-09-01,openstreetmap,-32.3342969,-65.0008401,2577189192,node
Cabañas El Maitén,hotel,"Cerro de los Linderos 1281, Villa de Merlo",+54 2656 474368,,,https://www.argentinaturismo.com.ar/elmaitencabanas/,,https://www.openstreetmap.org/node/2578722536,2026-09-01,openstreetmap,-32.3527037,-64.996323,2578722536,node
Complejo Brisa Serrana,hotel,"Marte 423, Merlo",+54 2656 47 3510,,,https://brisaserrana.com.ar/,,https://www.openstreetmap.org/node/2578786925,2026-09-01,openstreetmap,-32.34613,-65.0000941,2578786925,node
Cerros del Sol,chalet,"Avenida Dos Venados 3500, Villa de Merlo",+54 266 4321368,claudiamatteomerlo@hotmail.com,,https://www.cerrosdelsolmerlo.com.ar/,,https://www.openstreetmap.org/node/2579530085,2026-09-01,openstreetmap,-32.3262019,-64.9998263,2579530085,node
